,Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y,Distance X,Distance Y,Distance Z
58,Home,BALL LOST,INTERCEPTION,1,5202,208.08,5228,209.12,Player1,,0.32,0.89,0.33,0.84,0.010000000000000009,0.050000000000000044,0.050990195135927896
59,Home,CHALLENGE,GROUND-LOST,1,5228,209.12,5228,209.12,Player6,,0.36,0.82,,,,,
60,Away,CHALLENGE,GROUND-WON,1,5228,209.12,5228,209.12,Player19,,0.36,0.83,,,,,
61,Away,RECOVERY,INTERCEPTION,1,5228,209.12,5228,209.12,Player19,,0.36,0.83,,,,,
62,Away,BALL LOST,,1,5228,209.12,5263,210.52,Player19,,0.36,0.83,0.28,0.83,0.07999999999999996,0.0,0.07999999999999996
63,Home,RECOVERY,INTERCEPTION,1,5263,210.52,5263,210.52,Player1,,0.29,0.85,,,,,
64,Home,BALL LOST,INTERCEPTION,1,5316,212.64,5384,215.36,Player1,,0.26,0.96,0.64,0.88,0.38,0.07999999999999996,0.388329756778952
65,Away,RECOVERY,INTERCEPTION,1,5385,215.4,5385,215.4,Player17,,0.59,0.89,,,,,
66,Away,PASS,HEAD,1,5385,215.4,5412,216.48,Player17,Player20,0.59,0.89,0.54,0.85,0.04999999999999993,0.040000000000000036,0.06403124237432846
67,Away,PASS,,1,5431,217.24,5471,218.84,Player20,Player18,0.55,0.83,0.45,0.5,0.10000000000000003,0.32999999999999996,0.34481879299133333
68,Away,BALL LOST,,1,5507,220.28,5517,220.68,Player18,,0.38,0.47,0.28,0.41,0.09999999999999998,0.06,0.11661903789690599
69,Home,RECOVERY,,1,5520,220.8,5520,220.8,Player4,,0.3,0.43,,,,,
70,Home,BALL LOST,INTERCEPTION,1,5520,220.8,5550,222.0,Player4,,0.3,0.43,0.28,0.52,0.019999999999999962,0.09000000000000002,0.0921954445729289
71,Away,RECOVERY,INTERCEPTION,1,5549,221.96,5549,221.96,Player18,,0.29,0.49,,,,,
72,Home,CHALLENGE,TACKLE-WON,1,5627,225.08,5627,225.08,Player1,,0.14,0.6,,,,,
73,Home,RECOVERY,THEFT,1,5627,225.08,5627,225.08,Player1,,0.14,0.6,,,,,
74,Home,PASS,,1,5627,225.08,5663,226.52,Player1,Player2,0.14,0.6,0.18,0.53,0.03999999999999998,0.06999999999999995,0.08062257748298544
75,Away,CHALLENGE,TACKLE-LOST,1,5628,225.12,5628,225.12,Player18,,0.15,0.56,,,,,
76,Away,BALL LOST,THEFT,1,5628,225.12,5628,225.12,Player18,,0.15,0.56,,,,,
77,Home,PASS,,1,5663,226.52,5685,227.4,Player2,Player8,0.18,0.53,0.24,0.4,0.06,0.13,0.14317821063276354
78,Home,PASS,,1,5761,230.44,5809,232.36,Player8,Player10,0.39,0.29,0.6,0.09,0.20999999999999996,0.19999999999999998,0.29
79,Home,SHOT,OFF TARGET-OUT,1,5923,236.92,5953,238.12,Player10,,0.84,0.27,1.04,0.6,0.20000000000000007,0.32999999999999996,0.38587562763149474
80,Away,RECOVERY,,1,6685,267.4,6685,267.4,Player25,,0.95,0.45,,,,,
81,Away,PASS,GOAL KICK,1,6685,267.4,6779,271.16,Player25,Player18,0.95,0.45,0.53,0.04,0.41999999999999993,0.41000000000000003,0.5869412236331675
82,Away,BALL LOST,HEAD,1,6779,271.16,6844,273.76,Player18,,0.53,0.04,0.57,0.31,0.039999999999999925,0.27,0.2729468812791236
83,Home,RECOVERY,,1,6844,273.76,6844,273.76,Player6,,0.54,0.3,,,,,
84,Away,CHALLENGE,GROUND-WON,1,6863,274.52,6863,274.52,Player21,,0.53,0.29,,,,,
85,Away,RECOVERY,INTERCEPTION,1,6863,274.52,6863,274.52,Player21,,0.53,0.29,,,,,
86,Away,PASS,,1,6863,274.52,6886,275.44,Player21,Player20,0.53,0.29,0.54,0.37,0.010000000000000009,0.08000000000000002,0.08062257748298551
87,Home,BALL LOST,INTERCEPTION,1,6864,274.56,6885,275.4,Player6,,0.54,0.3,0.55,0.37,0.010000000000000009,0.07,0.07071067811865477
88,Away,PASS,,1,6905,276.2,6946,277.84,Player20,Player22,0.52,0.41,0.46,0.78,0.06,0.37000000000000005,0.3748332962798263
89,Away,BALL LOST,CROSS-INTERCEPTION,1,6987,279.48,7043,281.72,Player22,,0.38,0.84,0.08,0.4,0.3,0.43999999999999995,0.5325410782277739
90,Home,CHALLENGE,GROUND-WON,1,7041,281.64,7041,281.64,Player3,,0.1,0.42,,,,,
91,Home,RECOVERY,INTERCEPTION,1,7041,281.64,7041,281.64,Player3,,0.1,0.42,,,,,
92,Home,PASS,,1,7041,281.64,7148,285.92,Player3,Player4,0.1,0.42,0.03,0.03,0.07,0.39,0.396232255123179
93,Away,CHALLENGE,GROUND-LOST,1,7043,281.72,7043,281.72,Player24,,0.1,0.39,,,,,
94,Home,BALL LOST,,1,7199,287.96,7204,288.16,Player4,,0.1,0.01,0.14,0.02,0.04000000000000001,0.01,0.04123105625617662
95,Away,RECOVERY,,1,7203,288.12,7203,288.12,Player18,,0.13,0.01,,,,,
